# Homeruns
Inverter/MPPT	Circuit	Which	Mod / String	Length (ft)	Circuit Length (ft)	One-Way Length (ft)
-	-	Feeder	NA	211.06	N/A	N/A
-	-	Feeder	NA	410.57	N/A	N/A
-	-	Feeder	NA	243.43	N/A	N/A
-	-	Feeder	NA	203.66	N/A	N/A
-	-	Feeder	NA	272.37	N/A	N/A
-	-	Feeder	NA	201.43	N/A	N/A
-	-	Feeder	NA	163.30	N/A	N/A
-	-	Feeder	NA	36.42	N/A	N/A
-	-	Feeder	NA	164.29	N/A	N/A
-	-	Feeder	NA	248.35	N/A	N/A
-	-	Feeder	NA	66.27	N/A	N/A
-	-	Feeder	NA	172.94	N/A	N/A
-	-	Feeder	NA	88.37	N/A	N/A
# Equipment Schedule
EQUIPMENT SCHEDULE

Tag	Description	Manufacturer	Model	Qty	Rating	Listing	NEC Ref
INV-1..5	String Inverter	Sungrow	SG250HX	5	250.0kW AC, 800V, 180.5A	UL 1741	690.4
DC-DISC	DC Disconnect	(by installer)	-	5	1500V, 30A	UL 98	690.13
AC-DISC	AC Disconnect	(by installer)	-	5	800V, 226A	UL 98	690.54

DESIGN PARAMETERS
Design Min Temp	-40°C per NEC 690.7(A)(3)

NEC REFERENCES
690.4 - Installation requirements for PV equipment
690.7(A)(3) - Maximum system voltage: Voc corrected for lowest expected ambient temperature
690.8(A) - Maximum circuit current: Isc × 1.25 for continuous duty
690.13 - DC photovoltaic disconnecting means
690.54 - Interactive system point of interconnection
# Inverter Schedule
Inverter	MPPT	Strings	Inputs	Mod/String	Modules	DC (kW)	Voc_cold (V)	Max Vdc	Isc×1.25 (A)	Status
INV-1	A	6	6/2	14	84	-	-	1500	-	
INV-1	B	6	6/2	13, 14, 13, 13, 13, 14	80	-	-	1500	-	
INV-1	C	6	6/2	14, 14, 14, 14, 14, 13	83	-	-	1500	-	
INV-1	D	6	6/2	14, 13, 13, 14, 14, 14	82	-	-	1500	-	
INV-1	E	6	6/2	14	84	-	-	1500	-	
INV-1	F	6	6/2	13, 13, 14, 14, 14, 13	81	-	-	1500	-	
INV-1 Total		36			494	-				DC/AC: -
INV-2	A	6	6/2	14, 14, 13, 14, 14, 14	83	-	-	1500	-	
INV-2	B	6	6/2	13, 13, 14, 14, 13, 13	80	-	-	1500	-	
INV-2	C	6	6/2	13, 13, 13, 13, 14, 13	79	-	-	1500	-	
INV-2	D	6	6/2	13, 13, 13, 14, 12, 14	79	-	-	1500	-	
INV-2	E	6	6/2	12, 14, 14, 14, 14, 14	82	-	-	1500	-	
INV-2	F	6	6/2	14	84	-	-	1500	-	
INV-2 Total		36			487	-				DC/AC: -
INV-5	A	6	6/2	14, 14, 14, 14, 14, 13	83	-	-	1500	-	
INV-5	B	6	6/2	13	78	-	-	1500	-	
INV-5	C	6	6/2	13, 14, 14, 14, 14, 14	83	-	-	1500	-	
INV-5	D	6	6/2	14, 14, 13, 14, 14, 14	83	-	-	1500	-	
INV-5	E	6	6/2	14	84	-	-	1500	-	
INV-5	F	6	6/2	13, 13, 14, 14, 13, 14	81	-	-	1500	-	
INV-5 Total		36			492	-				DC/AC: -
INV-6	A	6	6/2	14, 14, 13, 14, 14, 13	82	-	-	1500	-	
INV-6	B	6	6/2	14, 13, 13, 13, 14, 14	81	-	-	1500	-	
INV-6	C	6	6/2	13, 13, 14, 14, 13, 13	80	-	-	1500	-	
INV-6	D	6	6/2	14, 13, 13, 13, 13, 13	79	-	-	1500	-	
INV-6	E	6	6/2	13, 14, 13, 14, 14, 13	81	-	-	1500	-	
INV-6	F	6	6/2	14, 14, 14, 14, 14, 13	83	-	-	1500	-	
INV-6 Total		36			486	-				DC/AC: -
INV-7	A	6	6/2	13, 13, 13, 13, 13, 12	77	-	-	1500	-	
INV-7	B	6	6/2	12, 12, 13, 13, 14, 14	78	-	-	1500	-	
INV-7	C	6	6/2	14	84	-	-	1500	-	
INV-7	D	6	6/2	14, 14, 14, 13, 14, 14	83	-	-	1500	-	
INV-7	E	5	5/2	13, 12, 13, 13, 13	64	-	-	1500	-	
INV-7 Total		29			386	-				DC/AC: -

GRAND TOTAL		173			2345	-				DC/AC: -

Voc_cold calculated per NEC 690.7(A)(3): Voc × (1 + βvoc/100 × (Tmin − 25°C)), Tmin = -40°C
# String Schedule
String ID	Inv	MPPT	Elec Zone	Modules	Voc (V)	Voc_cold (V)	Inv Vmax (V)	Margin (V)	Vmp (V)	Isc (A)	Isc×1.25 (A)	Power (W)	HR Length (ft)	Wire Gauge	Ampacity (A)	Vdrop (%)	Design Std
S1-A1	1	A	-	14	-	717.6	1500	782.4	-	-	-	-	163.3	-	-	-	P99.5 Voc
S1-A2	1	A	-	14	-	717.6	1500	782.4	-	-	-	-	199.6	-	-	-	P99.5 Voc
S1-A3	1	A	-	14	-	717.6	1500	782.4	-	-	-	-	169.6	-	-	-	P99.5 Voc
S1-A4	1	A	-	14	-	717.6	1500	782.4	-	-	-	-	226.4	-	-	-	P99.5 Voc
S1-A5	1	A	-	14	-	717.6	1500	782.4	-	-	-	-	243.9	-	-	-	P99.5 Voc
S1-A6	1	A	-	14	-	717.6	1500	782.4	-	-	-	-	265.2	-	-	-	P99.5 Voc
S1-B7	1	B	-	13	-	666.3	1500	833.7	-	-	-	-	112	-	-	-	P99.5 Voc
S1-B8	1	B	-	14	-	717.6	1500	782.4	-	-	-	-	143	-	-	-	P99.5 Voc
S1-B9	1	B	-	13	-	666.3	1500	833.7	-	-	-	-	142.1	-	-	-	P99.5 Voc
S1-B10	1	B	-	13	-	666.3	1500	833.7	-	-	-	-	114.9	-	-	-	P99.5 Voc
S1-B11	1	B	-	13	-	666.3	1500	833.7	-	-	-	-	179.7	-	-	-	P99.5 Voc
S1-B12	1	B	-	14	-	717.6	1500	782.4	-	-	-	-	166.3	-	-	-	P99.5 Voc
S1-C13	1	C	-	14	-	717.6	1500	782.4	-	-	-	-	129.9	-	-	-	P99.5 Voc
S1-C14	1	C	-	14	-	717.6	1500	782.4	-	-	-	-	191.8	-	-	-	P99.5 Voc
S1-C15	1	C	-	14	-	717.6	1500	782.4	-	-	-	-	220.1	-	-	-	P99.5 Voc
S1-C16	1	C	-	14	-	717.6	1500	782.4	-	-	-	-	238.2	-	-	-	P99.5 Voc
S1-C17	1	C	-	14	-	717.6	1500	782.4	-	-	-	-	247.1	-	-	-	P99.5 Voc
S1-C18	1	C	-	13	-	666.3	1500	833.7	-	-	-	-	130.8	-	-	-	P99.5 Voc
S1-D19	1	D	-	14	-	717.6	1500	782.4	-	-	-	-	373.7	-	-	-	P99.5 Voc
S1-D20	1	D	-	13	-	666.3	1500	833.7	-	-	-	-	198.3	-	-	-	P99.5 Voc
S1-D21	1	D	-	13	-	666.3	1500	833.7	-	-	-	-	165.1	-	-	-	P99.5 Voc
S1-D22	1	D	-	14	-	717.6	1500	782.4	-	-	-	-	139.5	-	-	-	P99.5 Voc
S1-D23	1	D	-	14	-	717.6	1500	782.4	-	-	-	-	168	-	-	-	P99.5 Voc
S1-D24	1	D	-	14	-	717.6	1500	782.4	-	-	-	-	242.6	-	-	-	P99.5 Voc
S1-E25	1	E	-	14	-	717.6	1500	782.4	-	-	-	-	197.4	-	-	-	P99.5 Voc
S1-E26	1	E	-	14	-	717.6	1500	782.4	-	-	-	-	308.1	-	-	-	P99.5 Voc
S1-E27	1	E	-	14	-	717.6	1500	782.4	-	-	-	-	299.2	-	-	-	P99.5 Voc
S1-E28	1	E	-	14	-	717.6	1500	782.4	-	-	-	-	280.4	-	-	-	P99.5 Voc
S1-E29	1	E	-	14	-	717.6	1500	782.4	-	-	-	-	311.9	-	-	-	P99.5 Voc
S1-E30	1	E	-	14	-	717.6	1500	782.4	-	-	-	-	400.3	-	-	-	P99.5 Voc
S1-F31	1	F	-	13	-	666.3	1500	833.7	-	-	-	-	148.8	-	-	-	P99.5 Voc
S1-F32	1	F	-	13	-	666.3	1500	833.7	-	-	-	-	111.8	-	-	-	P99.5 Voc
S1-F33	1	F	-	14	-	717.6	1500	782.4	-	-	-	-	168	-	-	-	P99.5 Voc
S1-F34	1	F	-	14	-	717.6	1500	782.4	-	-	-	-	241.8	-	-	-	P99.5 Voc
S1-F35	1	F	-	14	-	717.6	1500	782.4	-	-	-	-	246.8	-	-	-	P99.5 Voc
S1-F36	1	F	-	13	-	666.3	1500	833.7	-	-	-	-	245.6	-	-	-	P99.5 Voc
S2-A109	2	A	-	14	-	717.6	1500	782.4	-	-	-	-	114	-	-	-	P99.5 Voc
S2-A110	2	A	-	14	-	717.6	1500	782.4	-	-	-	-	143.3	-	-	-	P99.5 Voc
S2-A111	2	A	-	13	-	666.3	1500	833.7	-	-	-	-	158.5	-	-	-	P99.5 Voc
S2-A112	2	A	-	14	-	717.6	1500	782.4	-	-	-	-	114.6	-	-	-	P99.5 Voc
S2-A113	2	A	-	14	-	717.6	1500	782.4	-	-	-	-	148.5	-	-	-	P99.5 Voc
S2-A114	2	A	-	14	-	717.6	1500	782.4	-	-	-	-	121	-	-	-	P99.5 Voc
S2-B115	2	B	-	13	-	666.3	1500	833.7	-	-	-	-	156	-	-	-	P99.5 Voc
S2-B116	2	B	-	13	-	666.3	1500	833.7	-	-	-	-	159.9	-	-	-	P99.5 Voc
S2-B117	2	B	-	14	-	717.6	1500	782.4	-	-	-	-	235.4	-	-	-	P99.5 Voc
S2-B118	2	B	-	14	-	717.6	1500	782.4	-	-	-	-	151.6	-	-	-	P99.5 Voc
S2-B119	2	B	-	13	-	666.3	1500	833.7	-	-	-	-	209.8	-	-	-	P99.5 Voc
S2-B120	2	B	-	13	-	666.3	1500	833.7	-	-	-	-	153.5	-	-	-	P99.5 Voc
S2-C121	2	C	-	13	-	666.3	1500	833.7	-	-	-	-	273	-	-	-	P99.5 Voc
S2-C122	2	C	-	13	-	666.3	1500	833.7	-	-	-	-	182.9	-	-	-	P99.5 Voc
S2-C123	2	C	-	13	-	666.3	1500	833.7	-	-	-	-	284.7	-	-	-	P99.5 Voc
S2-C124	2	C	-	13	-	666.3	1500	833.7	-	-	-	-	202.2	-	-	-	P99.5 Voc
S2-C125	2	C	-	14	-	717.6	1500	782.4	-	-	-	-	176.4	-	-	-	P99.5 Voc
S2-C126	2	C	-	13	-	666.3	1500	833.7	-	-	-	-	168.4	-	-	-	P99.5 Voc
S2-D127	2	D	-	13	-	666.3	1500	833.7	-	-	-	-	254	-	-	-	P99.5 Voc
S2-D128	2	D	-	13	-	666.3	1500	833.7	-	-	-	-	211.6	-	-	-	P99.5 Voc
S2-D129	2	D	-	13	-	666.3	1500	833.7	-	-	-	-	176.7	-	-	-	P99.5 Voc
S2-D130	2	D	-	14	-	717.6	1500	782.4	-	-	-	-	251.4	-	-	-	P99.5 Voc
S2-D131	2	D	-	12	-	615.1	1500	884.9	-	-	-	-	155.8	-	-	-	P99.5 Voc
S2-D132	2	D	-	14	-	717.6	1500	782.4	-	-	-	-	231	-	-	-	P99.5 Voc
S2-E133	2	E	-	12	-	615.1	1500	884.9	-	-	-	-	215.1	-	-	-	P99.5 Voc
S2-E134	2	E	-	14	-	717.6	1500	782.4	-	-	-	-	209.8	-	-	-	P99.5 Voc
S2-E135	2	E	-	14	-	717.6	1500	782.4	-	-	-	-	146	-	-	-	P99.5 Voc
S2-E136	2	E	-	14	-	717.6	1500	782.4	-	-	-	-	138.9	-	-	-	P99.5 Voc
S2-E137	2	E	-	14	-	717.6	1500	782.4	-	-	-	-	117.6	-	-	-	P99.5 Voc
S2-E138	2	E	-	14	-	717.6	1500	782.4	-	-	-	-	142.3	-	-	-	P99.5 Voc
S2-F139	2	F	-	14	-	717.6	1500	782.4	-	-	-	-	234.3	-	-	-	P99.5 Voc
S2-F140	2	F	-	14	-	717.6	1500	782.4	-	-	-	-	152.4	-	-	-	P99.5 Voc
S2-F141	2	F	-	14	-	717.6	1500	782.4	-	-	-	-	202.7	-	-	-	P99.5 Voc
S2-F142	2	F	-	14	-	717.6	1500	782.4	-	-	-	-	143.5	-	-	-	P99.5 Voc
S2-F143	2	F	-	14	-	717.6	1500	782.4	-	-	-	-	172	-	-	-	P99.5 Voc
S2-F144	2	F	-	14	-	717.6	1500	782.4	-	-	-	-	216.6	-	-	-	P99.5 Voc
S5-A37	5	A	-	14	-	717.6	1500	782.4	-	-	-	-	183.8	-	-	-	P99.5 Voc
S5-A38	5	A	-	14	-	717.6	1500	782.4	-	-	-	-	191.8	-	-	-	P99.5 Voc
S5-A39	5	A	-	14	-	717.6	1500	782.4	-	-	-	-	182.2	-	-	-	P99.5 Voc
S5-A40	5	A	-	14	-	717.6	1500	782.4	-	-	-	-	145.1	-	-	-	P99.5 Voc
S5-A41	5	A	-	14	-	717.6	1500	782.4	-	-	-	-	193.6	-	-	-	P99.5 Voc
S5-A42	5	A	-	13	-	666.3	1500	833.7	-	-	-	-	232.2	-	-	-	P99.5 Voc
S5-B43	5	B	-	13	-	666.3	1500	833.7	-	-	-	-	279.3	-	-	-	P99.5 Voc
S5-B44	5	B	-	13	-	666.3	1500	833.7	-	-	-	-	324.3	-	-	-	P99.5 Voc
S5-B45	5	B	-	13	-	666.3	1500	833.7	-	-	-	-	388.8	-	-	-	P99.5 Voc
S5-B46	5	B	-	13	-	666.3	1500	833.7	-	-	-	-	414.3	-	-	-	P99.5 Voc
S5-B47	5	B	-	13	-	666.3	1500	833.7	-	-	-	-	291.3	-	-	-	P99.5 Voc
S5-B48	5	B	-	13	-	666.3	1500	833.7	-	-	-	-	323.1	-	-	-	P99.5 Voc
S5-C49	5	C	-	13	-	666.3	1500	833.7	-	-	-	-	303.3	-	-	-	P99.5 Voc
S5-C50	5	C	-	14	-	717.6	1500	782.4	-	-	-	-	121.7	-	-	-	P99.5 Voc
S5-C51	5	C	-	14	-	717.6	1500	782.4	-	-	-	-	169.8	-	-	-	P99.5 Voc
S5-C52	5	C	-	14	-	717.6	1500	782.4	-	-	-	-	165.1	-	-	-	P99.5 Voc
S5-C53	5	C	-	14	-	717.6	1500	782.4	-	-	-	-	169.2	-	-	-	P99.5 Voc
S5-C54	5	C	-	14	-	717.6	1500	782.4	-	-	-	-	167.5	-	-	-	P99.5 Voc
S5-D55	5	D	-	14	-	717.6	1500	782.4	-	-	-	-	165.2	-	-	-	P99.5 Voc
S5-D56	5	D	-	14	-	717.6	1500	782.4	-	-	-	-	169.6	-	-	-	P99.5 Voc
S5-D57	5	D	-	13	-	666.3	1500	833.7	-	-	-	-	139.3	-	-	-	P99.5 Voc
S5-D58	5	D	-	14	-	717.6	1500	782.4	-	-	-	-	186.2	-	-	-	P99.5 Voc
S5-D59	5	D	-	14	-	717.6	1500	782.4	-	-	-	-	144.1	-	-	-	P99.5 Voc
S5-D60	5	D	-	14	-	717.6	1500	782.4	-	-	-	-	168.8	-	-	-	P99.5 Voc
S5-E61	5	E	-	14	-	717.6	1500	782.4	-	-	-	-	174.1	-	-	-	P99.5 Voc
S5-E62	5	E	-	14	-	717.6	1500	782.4	-	-	-	-	150.5	-	-	-	P99.5 Voc
S5-E63	5	E	-	14	-	717.6	1500	782.4	-	-	-	-	156.9	-	-	-	P99.5 Voc
S5-E64	5	E	-	14	-	717.6	1500	782.4	-	-	-	-	147.3	-	-	-	P99.5 Voc
S5-E65	5	E	-	14	-	717.6	1500	782.4	-	-	-	-	164.7	-	-	-	P99.5 Voc
S5-E66	5	E	-	14	-	717.6	1500	782.4	-	-	-	-	145	-	-	-	P99.5 Voc
S5-F67	5	F	-	13	-	666.3	1500	833.7	-	-	-	-	236.9	-	-	-	P99.5 Voc
S5-F68	5	F	-	13	-	666.3	1500	833.7	-	-	-	-	227.1	-	-	-	P99.5 Voc
S5-F69	5	F	-	14	-	717.6	1500	782.4	-	-	-	-	183.8	-	-	-	P99.5 Voc
S5-F70	5	F	-	14	-	717.6	1500	782.4	-	-	-	-	146.6	-	-	-	P99.5 Voc
S5-F71	5	F	-	13	-	666.3	1500	833.7	-	-	-	-	174.7	-	-	-	P99.5 Voc
S5-F72	5	F	-	14	-	717.6	1500	782.4	-	-	-	-	127.3	-	-	-	P99.5 Voc
S6-A73	6	A	-	14	-	717.6	1500	782.4	-	-	-	-	160.1	-	-	-	P99.5 Voc
S6-A74	6	A	-	14	-	717.6	1500	782.4	-	-	-	-	134.5	-	-	-	P99.5 Voc
S6-A75	6	A	-	13	-	666.3	1500	833.7	-	-	-	-	155.2	-	-	-	P99.5 Voc
S6-A76	6	A	-	14	-	717.6	1500	782.4	-	-	-	-	165.1	-	-	-	P99.5 Voc
S6-A77	6	A	-	14	-	717.6	1500	782.4	-	-	-	-	169.8	-	-	-	P99.5 Voc
S6-A78	6	A	-	13	-	666.3	1500	833.7	-	-	-	-	144.3	-	-	-	P99.5 Voc
S6-B79	6	B	-	14	-	717.6	1500	782.4	-	-	-	-	212.2	-	-	-	P99.5 Voc
S6-B80	6	B	-	13	-	666.3	1500	833.7	-	-	-	-	191.9	-	-	-	P99.5 Voc
S6-B81	6	B	-	13	-	666.3	1500	833.7	-	-	-	-	185.2	-	-	-	P99.5 Voc
S6-B82	6	B	-	13	-	666.3	1500	833.7	-	-	-	-	216.7	-	-	-	P99.5 Voc
S6-B83	6	B	-	14	-	717.6	1500	782.4	-	-	-	-	188.2	-	-	-	P99.5 Voc
S6-B84	6	B	-	14	-	717.6	1500	782.4	-	-	-	-	216.8	-	-	-	P99.5 Voc
S6-C85	6	C	-	13	-	666.3	1500	833.7	-	-	-	-	171.3	-	-	-	P99.5 Voc
S6-C86	6	C	-	13	-	666.3	1500	833.7	-	-	-	-	87.2	-	-	-	P99.5 Voc
S6-C87	6	C	-	14	-	717.6	1500	782.4	-	-	-	-	149.8	-	-	-	P99.5 Voc
S6-C88	6	C	-	14	-	717.6	1500	782.4	-	-	-	-	160.3	-	-	-	P99.5 Voc
S6-C89	6	C	-	13	-	666.3	1500	833.7	-	-	-	-	267.2	-	-	-	P99.5 Voc
S6-C90	6	C	-	13	-	666.3	1500	833.7	-	-	-	-	168	-	-	-	P99.5 Voc
S6-D91	6	D	-	14	-	717.6	1500	782.4	-	-	-	-	160.1	-	-	-	P99.5 Voc
S6-D92	6	D	-	13	-	666.3	1500	833.7	-	-	-	-	102.5	-	-	-	P99.5 Voc
S6-D93	6	D	-	13	-	666.3	1500	833.7	-	-	-	-	214	-	-	-	P99.5 Voc
S6-D94	6	D	-	13	-	666.3	1500	833.7	-	-	-	-	191.4	-	-	-	P99.5 Voc
S6-D95	6	D	-	13	-	666.3	1500	833.7	-	-	-	-	224.2	-	-	-	P99.5 Voc
S6-D96	6	D	-	13	-	666.3	1500	833.7	-	-	-	-	247.5	-	-	-	P99.5 Voc
S6-E97	6	E	-	13	-	666.3	1500	833.7	-	-	-	-	231.8	-	-	-	P99.5 Voc
S6-E98	6	E	-	14	-	717.6	1500	782.4	-	-	-	-	432.2	-	-	-	P99.5 Voc
S6-E99	6	E	-	13	-	666.3	1500	833.7	-	-	-	-	239.6	-	-	-	P99.5 Voc
S6-E100	6	E	-	14	-	717.6	1500	782.4	-	-	-	-	428.8	-	-	-	P99.5 Voc
S6-E101	6	E	-	14	-	717.6	1500	782.4	-	-	-	-	171.3	-	-	-	P99.5 Voc
S6-E102	6	E	-	13	-	666.3	1500	833.7	-	-	-	-	431.2	-	-	-	P99.5 Voc
S6-F103	6	F	-	14	-	717.6	1500	782.4	-	-	-	-	175	-	-	-	P99.5 Voc
S6-F104	6	F	-	14	-	717.6	1500	782.4	-	-	-	-	397.4	-	-	-	P99.5 Voc
S6-F105	6	F	-	14	-	717.6	1500	782.4	-	-	-	-	150.4	-	-	-	P99.5 Voc
S6-F106	6	F	-	14	-	717.6	1500	782.4	-	-	-	-	195.9	-	-	-	P99.5 Voc
S6-F107	6	F	-	14	-	717.6	1500	782.4	-	-	-	-	118.6	-	-	-	P99.5 Voc
S6-F108	6	F	-	13	-	666.3	1500	833.7	-	-	-	-	197.1	-	-	-	P99.5 Voc
S7-A145	7	A	-	13	-	666.3	1500	833.7	-	-	-	-	214.9	-	-	-	P99.5 Voc
S7-A146	7	A	-	13	-	666.3	1500	833.7	-	-	-	-	123.7	-	-	-	P99.5 Voc
S7-A147	7	A	-	13	-	666.3	1500	833.7	-	-	-	-	141	-	-	-	P99.5 Voc
S7-A148	7	A	-	13	-	666.3	1500	833.7	-	-	-	-	233	-	-	-	P99.5 Voc
S7-A149	7	A	-	13	-	666.3	1500	833.7	-	-	-	-	242.9	-	-	-	P99.5 Voc
S7-A150	7	A	-	12	-	615.1	1500	884.9	-	-	-	-	108.8	-	-	-	P99.5 Voc
S7-B151	7	B	-	12	-	615.1	1500	884.9	-	-	-	-	96.2	-	-	-	P99.5 Voc
S7-B152	7	B	-	12	-	615.1	1500	884.9	-	-	-	-	228.4	-	-	-	P99.5 Voc
S7-B153	7	B	-	13	-	666.3	1500	833.7	-	-	-	-	312.9	-	-	-	P99.5 Voc
S7-B154	7	B	-	13	-	666.3	1500	833.7	-	-	-	-	293.1	-	-	-	P99.5 Voc
S7-B155	7	B	-	14	-	717.6	1500	782.4	-	-	-	-	358.5	-	-	-	P99.5 Voc
S7-B156	7	B	-	14	-	717.6	1500	782.4	-	-	-	-	512.6	-	-	-	P99.5 Voc
S7-C157	7	C	-	14	-	717.6	1500	782.4	-	-	-	-	299.6	-	-	-	P99.5 Voc
S7-C158	7	C	-	14	-	717.6	1500	782.4	-	-	-	-	238.9	-	-	-	P99.5 Voc
S7-C159	7	C	-	14	-	717.6	1500	782.4	-	-	-	-	216.6	-	-	-	P99.5 Voc
S7-C160	7	C	-	14	-	717.6	1500	782.4	-	-	-	-	281.2	-	-	-	P99.5 Voc
S7-C161	7	C	-	14	-	717.6	1500	782.4	-	-	-	-	209.5	-	-	-	P99.5 Voc
S7-C162	7	C	-	14	-	717.6	1500	782.4	-	-	-	-	201.5	-	-	-	P99.5 Voc
S7-D163	7	D	-	14	-	717.6	1500	782.4	-	-	-	-	184.5	-	-	-	P99.5 Voc
S7-D164	7	D	-	14	-	717.6	1500	782.4	-	-	-	-	164.3	-	-	-	P99.5 Voc
S7-D165	7	D	-	14	-	717.6	1500	782.4	-	-	-	-	156.3	-	-	-	P99.5 Voc
S7-D166	7	D	-	13	-	666.3	1500	833.7	-	-	-	-	212.3	-	-	-	P99.5 Voc
S7-D167	7	D	-	14	-	717.6	1500	782.4	-	-	-	-	152.5	-	-	-	P99.5 Voc
S7-D168	7	D	-	14	-	717.6	1500	782.4	-	-	-	-	211.6	-	-	-	P99.5 Voc
S7-E169	7	E	-	13	-	666.3	1500	833.7	-	-	-	-	324.1	-	-	-	P99.5 Voc
S7-E170	7	E	-	12	-	615.1	1500	884.9	-	-	-	-	327.6	-	-	-	P99.5 Voc
S7-E171	7	E	-	13	-	666.3	1500	833.7	-	-	-	-	424.5	-	-	-	P99.5 Voc
S7-E172	7	E	-	13	-	666.3	1500	833.7	-	-	-	-	407	-	-	-	P99.5 Voc
S7-E173	7	E	-	13	-	666.3	1500	833.7	-	-	-	-	334	-	-	-	P99.5 Voc

TOTAL		173 strings		2345

Voc_cold per NEC 690.7(A)(3): Voc × (1 + βvoc/100 × (Tmin − 25°C)), Tmin = -40°C | Isc×1.25 per NEC 690.8(A)(1) continuous duty
Cable sizing per NEC 310.16 (ampacity) + NEC 210.19 FPN (voltage drop ≤ 2% recommended)
